"occupation_id","function_id","function_type","function_weight","delegability_guardrail","source_mix","source_confidence","notes"
"occ_11_1021_00","fn_occ_11_1021_00_primary","primary_function_anchor","1.0000","0.6364","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_13_1041_00","fn_occ_13_1041_00_primary","primary_function_anchor","1.0000","0.7818","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_13_1071_00","fn_occ_13_1071_00_primary","primary_function_anchor","1.0000","0.6392","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_13_1081_00","fn_occ_13_1081_00_primary","primary_function_anchor","1.0000","0.5642","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_13_1082_00","fn_occ_13_1082_00_primary","primary_function_anchor","1.0000","0.6438","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_13_1111_00","fn_occ_13_1111_00_primary","primary_function_anchor","1.0000","0.6500","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_13_1151_00","fn_occ_13_1151_00_primary","primary_function_anchor","1.0000","0.6392","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_13_1161_00","fn_occ_13_1161_00_primary","primary_function_anchor","1.0000","0.5376","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_13_1199_00","fn_occ_13_1199_00_primary","primary_function_anchor","1.0000","0.6114","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_13_2011_00","fn_occ_13_2011_00_primary","primary_function_anchor","1.0000","0.7286","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_13_2051_00","fn_occ_13_2051_00_primary","primary_function_anchor","1.0000","0.6636","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_15_1211_00","fn_occ_15_1211_00_primary","primary_function_anchor","1.0000","0.5938","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_15_1252_00","fn_occ_15_1252_00_primary","primary_function_anchor","1.0000","0.5938","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_15_1254_00","fn_occ_15_1254_00_primary","primary_function_anchor","1.0000","0.5938","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_15_2031_00","fn_occ_15_2031_00_primary","primary_function_anchor","1.0000","0.5826","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_15_2051_00","fn_occ_15_2051_00_primary","primary_function_anchor","1.0000","0.6450","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
"occ_17_2072_00","fn_occ_17_2072_00_primary","primary_function_anchor","1.0000","0.6716","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_17_2141_00","fn_occ_17_2141_00_primary","primary_function_anchor","1.0000","0.6716","src_role_function_seed_2026_03","0.7400","first_pass_primary_function_anchor"
"occ_23_1011_00","fn_occ_23_1011_00_primary","primary_function_anchor","1.0000","0.9412","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","first_pass_primary_function_anchor"
